ds,actual,lstm_test,lstm_forecast
2016-05-03,262.0,,
2016-05-04,255.0,,
2016-05-09,252.0,,
2016-05-10,252.0,,
2016-05-11,252.0,,
2016-05-12,250.0,,
2016-05-13,258.0,,
2016-05-16,258.0,,
2016-05-17,258.0,,
2016-05-18,260.0,,
2016-05-19,262.0,,
2016-05-20,265.0,,
2016-05-23,268.0,,
2016-05-24,268.0,,
2016-05-25,268.0,,
2016-05-26,255.0,,
2016-05-27,255.0,,
2016-05-30,258.0,,
2016-05-31,252.0,,
2016-06-01,250.0,,
2016-06-02,255.0,,
2016-06-03,260.0,,
2016-06-06,252.0,,
2016-06-07,252.0,,
2016-06-08,255.0,,
2016-06-09,252.0,,
2016-06-10,252.0,,
2016-06-13,252.0,,
2016-06-14,252.0,,
2016-06-15,250.0,,
2016-06-16,250.0,,
2016-06-17,252.0,,
2016-06-20,258.0,,
2016-06-21,252.0,,
2016-06-22,252.0,,
2016-06-23,255.0,,
2016-06-24,252.0,,
2016-06-27,252.0,,
2016-06-28,255.0,,
2016-06-29,255.0,,
2016-06-30,252.0,,
2016-07-01,250.0,,
2016-07-11,250.0,,
2016-07-12,248.0,,
2016-07-13,248.0,,
2016-07-14,250.0,,
2016-07-15,249.0,,
2016-07-18,249.0,,
2016-07-19,250.0,,
2016-07-20,249.0,,
2016-07-21,262.0,,
2016-07-22,285.0,,
2016-07-25,302.0,,
2016-07-26,308.0,,
2016-07-27,302.0,,
2016-07-28,290.0,,
2016-07-29,288.0,,
2016-08-01,298.0,,
2016-08-02,290.0,,
2016-08-03,300.0,,
2016-08-04,298.0,,
2016-08-05,295.0,,
2016-08-08,298.0,,
2016-08-09,298.0,,
2016-08-10,295.0,,
2016-08-11,290.0,,
2016-08-12,288.0,,
2016-08-15,280.0,,
2016-08-16,280.0,,
2016-08-18,290.0,,
2016-08-19,285.0,,
2016-08-22,282.0,,
2016-08-23,295.0,,
2016-08-24,285.0,,
2016-08-25,295.0,,
2016-08-26,288.0,,
2016-08-29,282.0,,
2016-08-30,272.0,,
2016-08-31,282.0,,
2016-09-01,272.0,,
2016-09-02,275.0,,
2016-09-05,272.0,,
2016-09-06,270.0,,
2016-09-07,270.0,,
2016-09-08,268.0,,
2016-09-09,260.0,,
2016-09-13,260.0,,
2016-09-14,255.0,,
2016-09-15,255.0,,
2016-09-16,265.0,,
2016-09-19,255.0,,
2016-09-20,255.0,,
2016-09-21,258.0,,
2016-09-22,260.0,,
2016-09-23,260.0,,
2016-09-26,255.0,,
2016-09-27,255.0,,
2016-09-28,258.0,,
2016-09-29,275.0,,
2016-09-30,268.0,,
2016-10-03,278.0,,
2016-10-04,275.0,,
2016-10-05,280.0,,
2016-10-06,288.0,,
2016-10-07,282.0,,
2016-10-10,275.0,,
2016-10-11,288.0,,
2016-10-12,288.0,,
2016-10-13,275.0,,
2016-10-14,275.0,,
2016-10-17,282.0,,
2016-10-18,282.0,,
2016-10-19,275.0,,
2016-10-20,275.0,,
2016-10-21,275.0,,
2016-10-24,280.0,,
2016-10-25,282.0,,
2016-10-26,282.0,,
2016-10-27,282.0,,
2016-10-28,288.0,,
2016-10-31,282.0,,
2016-11-01,285.0,,
2016-11-02,282.0,,
2016-11-03,280.0,,
2016-11-04,282.0,,
2016-11-07,275.0,,
2016-11-08,280.0,,
2016-11-09,275.0,,
2016-11-10,275.0,,
2016-11-11,265.0,,
2016-11-14,258.0,,
2016-11-15,258.0,,
2016-11-16,272.0,,
2016-11-17,270.0,,
2016-11-18,272.0,,
2016-11-21,272.0,,
2016-11-22,275.0,,
2016-11-23,275.0,,
2016-11-24,272.0,,
2016-11-25,275.0,,
2016-11-28,272.0,,
2016-11-29,275.0,,
2016-11-30,272.0,,
2016-12-01,275.0,,
2016-12-02,275.0,,
2016-12-05,278.0,,
2016-12-06,275.0,,
2016-12-07,272.0,,
2016-12-08,278.0,271.72165,
2016-12-09,272.0,275.86508,
2016-12-13,275.0,271.59363,
2016-12-14,272.0,273.59973,
2016-12-15,270.0,271.32465,
2016-12-16,275.0,269.63806,
2016-12-19,270.0,273.04657,
2016-12-20,270.0,269.5736,
2016-12-21,270.0,269.36072,
2016-12-22,258.0,269.12225,
2016-12-23,255.0,260.39322,
2016-12-27,255.0,256.43753,
2016-12-28,258.0,254.73999,
2016-12-29,265.0,256.53668,
2016-12-30,260.0,263.15576,
2017-01-03,255.0,260.08212,
2017-01-04,258.0,256.19986,
2017-01-05,258.0,258.09305,
2017-01-06,268.0,258.19733,
